date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-09-24,3.7,3.78,3.75,3.7,551375.75,0.03,0.81,3.812,3.781,3.838,1019194.74,1132457.8,2042896.91,0.35
2015-09-23,3.79,3.83,3.73,3.7,953053.0,-0.15,-3.87,3.806,3.811,3.828,1206169.86,1170612.57,2123047.56,0.61
2015-09-22,3.89,3.94,3.88,3.83,1046813.12,0.01,0.26,3.808,3.852,3.838,1271181.79,1239003.11,2199826.06,0.66
2015-09-21,3.75,3.89,3.87,3.73,898619.56,0.05,1.31,3.718,3.873,3.863,1296430.44,1285432.26,2241924.96,0.57
2015-09-18,3.74,3.92,3.83,3.72,1646112.25,0.11,2.96,3.696,3.892,3.897,1371291.38,1399293.07,2297683.34,1.05
2015-09-17,3.68,3.94,3.72,3.68,1486251.38,-0.03,-0.8,3.75,3.935,3.942,1245720.86,1816851.69,2365072.38,0.94
2015-09-16,3.5,3.77,3.74,3.45,1278112.62,0.31,9.04,3.816,3.976,3.984,1135055.29,2209179.81,2471892.65,0.81
2015-09-15,3.63,3.75,3.43,3.4,1173056.38,-0.33,-8.78,3.896,4.0,4.051,1206824.44,2396592.42,2588575.59,0.75
2015-09-14,4.12,4.12,3.76,3.75,1272924.25,-0.35,-8.52,4.028,4.019,4.124,1274434.09,2575767.83,2685494.17,0.81
2015-09-11,4.06,4.19,4.1,4.02,1018259.69,0.05,1.24,4.088,3.982,4.187,1427294.76,2708466.51,2791327.33,0.65
2015-09-10,4.06,4.14,4.05,4.01,932923.5,-0.09,-2.17,4.12,3.894,4.22,2387982.52,2953336.01,2854859.29,0.59
2015-09-09,4.1,4.25,4.14,4.05,1636958.38,0.05,1.22,4.136,3.844,4.261,3283304.32,3075482.54,3003427.67,1.04
2015-09-08,4.05,4.14,4.09,3.83,1511104.62,0.03,0.74,4.104,3.824,4.297,3586360.4,3160649.0,3116289.68,0.96
2015-09-07,4.26,4.42,4.06,4.05,2037227.62,-0.25,-5.8,4.01,3.853,4.32,3877101.57,3198417.66,3143686.38,1.29
2015-09-02,3.9,4.35,4.26,3.86,5821698.5,0.13,3.15,3.876,3.901,4.339,3989638.25,3196073.61,3110833.89,3.7
2015-09-01,3.79,4.21,4.13,3.66,5409532.5,0.17,4.29,3.668,3.949,4.35,3518689.5,2913293.06,2902311.75,3.44
2015-08-31,3.56,3.98,3.98,3.38,3152238.75,0.36,9.95,3.552,3.992,4.373,2867660.75,2734605.49,2727245.97,2.0
2015-08-28,3.45,3.64,3.62,3.37,2964810.5,0.23,6.79,3.544,4.101,4.398,2734937.6,2780558.76,2687422.98,1.88
2015-08-27,3.33,3.4,3.39,3.16,2599911.0,0.17,5.28,3.696,4.229,4.436,2519733.75,2795220.51,2631411.08,1.65
2015-08-26,3.45,3.64,3.22,3.2,3466954.75,-0.33,-9.3,3.926,4.392,4.485,2402508.97,2874188.16,2627005.36,2.2
2015-08-25,3.58,3.7,3.55,3.55,2154388.75,-0.39,-9.9,4.23,4.545,4.554,2307896.62,2756382.56,2580109.77,1.37
2015-08-24,4.2,4.21,3.94,3.94,2488623.0,-0.44,-10.05,4.432,4.677,4.594,2601550.22,2931372.81,2646598.94,1.58
2015-08-21,4.48,4.59,4.38,4.3,1888791.25,-0.15,-3.31,4.658,4.77,4.627,2826179.92,3071930.36,2711217.92,1.2
2015-08-20,4.66,4.75,4.54,4.51,2013787.12,-0.19,-4.02,4.762,4.786,4.663,3070707.27,3088955.1,2840346.56,1.28
2015-08-19,4.44,4.82,4.74,4.36,2993893.0,0.18,3.95,4.858,4.776,4.698,3345867.35,3025594.16,2957133.48,1.9
2015-08-18,5.03,5.07,4.56,4.56,3622656.75,-0.51,-10.06,4.86,4.751,4.714,3204868.5,2891330.44,2946152.26,2.3
2015-08-17,4.95,5.15,5.07,4.88,3611771.5,0.17,3.47,4.922,4.754,4.742,3261195.4,2719886.45,2903875.26,2.29
2015-08-14,5.02,5.03,4.9,4.88,3111428.0,-0.12,-2.39,4.882,4.694,4.748,3317680.8,2594287.2,2901549.48,1.98
2015-08-13,4.78,5.03,5.02,4.73,3389587.5,0.27,5.68,4.81,4.642,4.768,3107202.92,2467601.65,2945481.06,2.15
2015-08-12,4.76,4.93,4.75,4.71,2288898.75,-0.11,-2.26,4.694,4.578,4.774,2705320.97,2379822.55,2931850.65,1.45
2015-08-11,4.89,5.04,4.87,4.8,3904291.25,0.0,0.0,4.642,4.562,4.795,2577792.37,2403836.98,3047092.21,2.48
2015-08-10,4.59,4.99,4.87,4.55,3894198.5,0.32,7.03,4.586,4.51,4.809,2178577.5,2361825.08,3184465.45,2.47
2015-08-07,4.53,4.63,4.54,4.45,2059038.62,0.1,2.25,4.506,4.483,4.845,1870893.6,2350505.48,3438221.48,1.31
2015-08-06,4.42,4.57,4.44,4.38,1380177.75,-0.06,-1.33,4.474,4.539,4.894,1828000.38,2591738.01,3757130.19,0.88
2015-08-05,4.57,4.65,4.49,4.48,1651255.75,-0.11,-2.39,4.462,4.619,4.922,2054324.13,2888672.79,4007923.38,1.05
2015-08-04,4.43,4.62,4.59,4.37,1908216.88,0.12,2.69,4.482,4.676,4.923,2229881.58,3000974.09,4438006.14,1.21
2015-08-03,4.29,4.5,4.47,4.17,2355779.0,0.09,2.06,4.434,4.73,4.922,2545072.65,3087864.08,4867168.0,1.5
2015-07-31,4.3,4.43,4.38,4.28,1844572.5,0.01,0.23,4.46,4.801,4.917,2830117.35,3208811.75,5200700.55,1.17
2015-07-30,4.58,4.66,4.38,4.35,2511796.5,-0.2,-4.37,4.604,4.893,4.9,3355475.65,3423360.48,5414792.95,1.6
2015-07-29,4.4,4.6,4.59,4.3,2529043.0,0.25,5.76,4.776,4.97,4.905,3723021.45,3483878.75,5545109.55,1.61
2015-07-28,4.48,4.57,4.35,4.16,3484172.25,-0.25,-5.43,4.87,5.028,4.918,3772066.6,3690347.45,5691876.65,2.21
2015-07-27,5.04,5.15,4.6,4.6,3781002.5,-0.51,-9.98,5.026,5.107,4.96,3630655.5,4007105.83,5870132.56,2.4
2015-07-24,5.19,5.33,5.1,5.09,4471364.0,-0.13,-2.49,5.142,5.207,4.97,3587506.15,4525937.47,6005038.41,2.84
2015-07-23,5.08,5.35,5.24,5.03,4349525.5,0.18,3.56,5.182,5.248,4.981,3491245.3,4922522.38,6038657.41,2.76
2015-07-22,5.1,5.18,5.06,4.96,2774268.75,-0.07,-1.36,5.164,5.225,5.014,3244736.05,5127173.97,6050616.36,1.76
